"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 00:13:34 GMT 2023","Sat Jan 28 00:13:34 GMT 2023","206","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"broken","Sat Jan 28 00:13:48 GMT 2023","Sat Jan 28 00:13:53 GMT 2023","5047","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"passed","Sat Jan 28 00:13:29 GMT 2023","Sat Jan 28 00:13:29 GMT 2023","441","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
"broken","Sat Jan 28 00:13:40 GMT 2023","Sat Jan 28 00:13:45 GMT 2023","5065","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
"passed","Sat Jan 28 00:13:31 GMT 2023","Sat Jan 28 00:13:32 GMT 2023","235","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
"passed","Sat Jan 28 00:13:38 GMT 2023","Sat Jan 28 00:13:38 GMT 2023","183","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"passed","Sat Jan 28 00:13:34 GMT 2023","Sat Jan 28 00:13:34 GMT 2023","274","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"passed","Sat Jan 28 00:13:40 GMT 2023","Sat Jan 28 00:13:40 GMT 2023","347","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Sat Jan 28 00:13:29 GMT 2023","Sat Jan 28 00:13:29 GMT 2023","379","tests","test_inventory_page","TestInventory","","","test_add_items_to_cart",""
"passed","Sat Jan 28 00:13:31 GMT 2023","Sat Jan 28 00:13:32 GMT 2023","222","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"passed","Sat Jan 28 00:13:36 GMT 2023","Sat Jan 28 00:13:36 GMT 2023","116","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
